Classroom,Infrastructure,Advisement,Food,Transportation,Finance,Work,Activities,Health
Reducing the number of exams but increasing the number of HW,Lower housing rent.,Make it easier to make appointments at Stamps,Healthier food options,Better public transportation,Reduce student fees,More RA/TA opportunities.,Fun activities/events,Healthier food options
Explaining the concepts of networking by showing code examples from system.,Better quality of housing,"Improved ECE advising/forms process (graduation, minors, etc)",Better quality of food,Increased shuttle/bus times and reliability,reduce parking fee on campus,More support for job search,More on campus activities for students,Increasing visibility and ease of using dining hallsHealthier food options
Better communication from course TAs and instructors.,More library space,Easy switch between the programs or disciplines if students lose their interest in their current program,More food options on campus,more stinger bus routes,reducing student fees,More support for job search,"Increase frequency of free, fun events put on for students",healthy food with reasonable price
Make class syllabi publicly available,,Better registration portal,Increasing visibility and ease of using dining hallsHealthier food options,better transportation,Lower the tuition and fee for out-of-state students.,less homework,Make friends with people whose major is not close to yours.,Healthier food options
"Revised testing format as a standard (take home, open book, open notes)",build another gym or recreation center,"Choose an area that you are most interested in, but do not be afraid of changing it.",Better food options in student centre,Free parking lots,lower student fees,More opportunities for job,Social events for students to get to know each other,Healthcare availability on weekends
less homework,Provide more monitors in library,Explore interesting things other than your major.,healthy food with reasonable price,More school bus,Reduce parking fee,More RA/TA opportunities.,Regular events for international students to know the America better,healthier foods on campus
more extra credit offered,Provide more books in library,better consultation,Better food,reduce parking fee on campus,1. Affordable tuition,Job related workshops and 1on 1 type advisor meetings and have industry mentors,More activities for grad students,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity."
less tests,Renovated campus housing,Provide help for career or researching experience.,Have more delicious food in canteen.,We can have free shared bikes or scooters for students to access in the campus,Lower the tuition and fee for out-of-state students.,Increased GRA pay,More outdoor events organized by different student societies.,"Existence of Heavy work load and CARE (which provides mental health service at GT) does seem that the management understands the relationship, but sad to see there is no solution they really address rather ""you have to make it work""."
"Exams should not have much weight, rather projects/assignment should carry more weightage as they have high learning",Larger gym,Quick response to the information consulting.,Increasing visibility and ease of using dining halls,Increased frequency of buses on campus,Discounted taxes for Student Employees,Increase opportunities for GRA/GTA roles in ECE department,More social events,More accessible free mental health help
Mode of conduct of lectures should be both in-person and remote in every course,Bigger gym.,Clear guide for new students to follow.,Healthier food options,Improved campus transportation system,Discounted laptops,Increase opportunities for GRA/GTA roles in ECE department,4. Interesting student events,Do more exercises as you can.
"Work really hard on assignments, quiz, and exams.",build another gym or recreation center,better looking OSCAR,Increase the varieties of food in dinning halls,More bus routes,Discounted taxes for Student Employees,More funding opportunities,More events for the students on campus,
Improve course and assignment quality.,"Develop programs that help students maintain their physical and mental health. For example weekly gym sessions or sport training sessions. Basically, let students chill and help them regain their sanity.",3. Embrace Diversity,Better food options,More bike racks,More students coupons can use in daily life,More funding opportunities,More outdoor activities for students,
More classes should allow students to attend remotely as this course does.,2. More study space in library,4. Fostering a success-oriented mindset and sense of belonging,Reduced food prices for lunch options,More affordable parking permits,Cheaper accommodation,increase phd students' salary,More social activities,
